TABLE 6J - COMPLETE CC LIST
Diagnosis Code	Description
G45.2	Multiple and bilateral precerebral artery syndromes
G45.3	Amaurosis fugax
G45.8	Other transient cerebral ischemic attacks and related syndromes
G45.9	Transient cerebral ischemic attack, unspecified
G46.0	Middle cerebral artery syndrome
G46.1	Anterior cerebral artery syndrome
G46.2	Posterior cerebral artery syndrome
G60.1	Refsum's disease
G61.0	Guillain-Barre syndrome
G61.81	Chronic inflammatory demyelinating polyneuritis
G62.81	Critical illness polyneuropathy
G70.80	Lambert-Eaton syndrome, unspecified
G70.81	Lambert-Eaton syndrome in disease classified elsewhere
G71.20	Congenital myopathy, unspecified
G71.21	Nemaline myopathy
G71.220	X-linked myotubular myopathy
G71.228	Other centronuclear myopathy
G71.29	Other congenital myopathy
G72.0	Drug-induced myopathy
G72.1	Alcoholic myopathy
G72.2	Myopathy due to other toxic agents
G72.81	Critical illness myopathy
G73.1	Lambert-Eaton syndrome in neoplastic disease
G73.3	Myasthenic syndromes in other diseases classified elsewhere
G80.1	Spastic diplegic cerebral palsy
G80.2	Spastic hemiplegic cerebral palsy
G80.3	Athetoid cerebral palsy
G81.00	Flaccid hemiplegia affecting unspecified side
G81.01	Flaccid hemiplegia affecting right dominant side
G81.02	Flaccid hemiplegia affecting left dominant side
G81.03	Flaccid hemiplegia affecting right nondominant side
G81.04	Flaccid hemiplegia affecting left nondominant side
G81.10	Spastic hemiplegia affecting unspecified side
G81.11	Spastic hemiplegia affecting right dominant side
G81.12	Spastic hemiplegia affecting left dominant side
G81.13	Spastic hemiplegia affecting right nondominant side
G81.14	Spastic hemiplegia affecting left nondominant side
G81.90	Hemiplegia, unspecified affecting unspecified side
G81.91	Hemiplegia, unspecified affecting right dominant side
G81.92	Hemiplegia, unspecified affecting left dominant side
G81.93	Hemiplegia, unspecified affecting right nondominant side
G81.94	Hemiplegia, unspecified affecting left nondominant side
G82.20	Paraplegia, unspecified
G82.21	Paraplegia, complete
G82.22	Paraplegia, incomplete
G83.0	Diplegia of upper limbs
G83.4	Cauda equina syndrome
G90.3	Multi-system degeneration of the autonomic nervous system
G90.50	Complex regional pain syndrome I, unspecified
G90.511	Complex regional pain syndrome I of right upper limb
G90.512	Complex regional pain syndrome I of left upper limb
G90.513	Complex regional pain syndrome I of upper limb, bilateral
G90.519	Complex regional pain syndrome I of unspecified upper limb
G90.521	Complex regional pain syndrome I of right lower limb
G90.522	Complex regional pain syndrome I of left lower limb
G90.523	Complex regional pain syndrome I of lower limb, bilateral
G90.529	Complex regional pain syndrome I of unspecified lower limb
G90.59	Complex regional pain syndrome I of other specified site
G91.0	Communicating hydrocephalus
G91.1	Obstructive hydrocephalus
G91.2	(Idiopathic) normal pressure hydrocephalus
G91.3	Post-traumatic hydrocephalus, unspecified
G91.8	Other hydrocephalus
G91.9	Hydrocephalus, unspecified
G92.03	Immune effector cell-associated neurotoxicity syndrome, grade 3
G92.04	Immune effector cell-associated neurotoxicity syndrome, grade 4
G92.05	Immune effector cell-associated neurotoxicity syndrome, grade 5
G93.1	Anoxic brain damage, not elsewhere classified
G93.40	Encephalopathy, unspecified
G93.42	Megalencephalic leukoencephalopathy with subcortical cysts
G93.43	Leukoencephalopathy with calcifications and cysts
G93.44	Adult-onset leukodystrophy with axonal spheroids
G93.45	Developmental and epileptic encephalopathy
G93.49	Other encephalopathy
G95.0	Syringomyelia and syringobulbia
G95.20	Unspecified cord compression
G95.29	Other cord compression
G95.81	Conus medullaris syndrome
G95.89	Other specified diseases of spinal cord
G95.9	Disease of spinal cord, unspecified
G96.00	Cerebrospinal fluid leak, unspecified
G96.01	Cranial cerebrospinal fluid leak, spontaneous
G96.02	Spinal cerebrospinal fluid leak, spontaneous
G96.08	Other cranial cerebrospinal fluid leak
G96.09	Other spinal cerebrospinal fluid leak
G96.11	Dural tear
G97.0	Cerebrospinal fluid leak from spinal puncture
G97.2	Intracranial hypotension following ventricular shunting
G97.31	Intraoperative hemorrhage and hematoma of a nervous system organ or structure complicating a nervous system procedure
G97.32	Intraoperative hemorrhage and hematoma of a nervous system organ or structure complicating other procedure
G97.41	Accidental puncture or laceration of dura during a procedure
G97.48	Accidental puncture and laceration of other nervous system organ or structure during a nervous system procedure
G97.49	Accidental puncture and laceration of other nervous system organ or structure during other procedure
G97.51	Postprocedural hemorrhage of a nervous system organ or structure following a nervous system procedure
G97.52	Postprocedural hemorrhage of a nervous system organ or structure following other procedure
G97.61	Postprocedural hematoma of a nervous system organ or structure following a nervous system procedure
G97.62	Postprocedural hematoma of a nervous system organ or structure following other procedure
G97.63	Postprocedural seroma of a nervous system organ or structure following a nervous system procedure
G97.64	Postprocedural seroma of a nervous system organ or structure following other procedure
G97.81	Other intraoperative complications of nervous system
G97.82	Other postprocedural complications and disorders of nervous system
G97.83	Intracranial hypotension following lumbar cerebrospinal fluid shunting
G97.84	Intracranial hypotension following other procedure
G99.0	Autonomic neuropathy in diseases classified elsewhere
G99.2	Myelopathy in diseases classified elsewhere
H05.011	Cellulitis of right orbit
H05.012	Cellulitis of left orbit
H05.013	Cellulitis of bilateral orbits
H05.019	Cellulitis of unspecified orbit
H05.021	Osteomyelitis of right orbit
H05.022	Osteomyelitis of left orbit
H05.023	Osteomyelitis of bilateral orbits
H05.029	Osteomyelitis of unspecified orbit
H05.031	Periostitis of right orbit
H05.032	Periostitis of left orbit
H05.033	Periostitis of bilateral orbits
H05.039	Periostitis of unspecified orbit
H20.00	Unspecified acute and subacute iridocyclitis
H20.011	Primary iridocyclitis, right eye
H20.012	Primary iridocyclitis, left eye
H20.013	Primary iridocyclitis, bilateral
H20.019	Primary iridocyclitis, unspecified eye
H20.021	Recurrent acute iridocyclitis, right eye
H20.022	Recurrent acute iridocyclitis, left eye
H20.023	Recurrent acute iridocyclitis, bilateral
H20.029	Recurrent acute iridocyclitis, unspecified eye
H20.031	Secondary infectious iridocyclitis, right eye
H20.032	Secondary infectious iridocyclitis, left eye
H20.033	Secondary infectious iridocyclitis, bilateral
H20.039	Secondary infectious iridocyclitis, unspecified eye
H20.9	Unspecified iridocyclitis
H21.331	Parasitic cyst of iris, ciliary body or anterior chamber, right eye
H21.332	Parasitic cyst of iris, ciliary body or anterior chamber, left eye
H21.333	Parasitic cyst of iris, ciliary body or anterior chamber, bilateral
H21.339	Parasitic cyst of iris, ciliary body or anterior chamber, unspecified eye
H30.101	Unspecified disseminated chorioretinal inflammation, right eye
H30.102	Unspecified disseminated chorioretinal inflammation, left eye
H30.103	Unspecified disseminated chorioretinal inflammation, bilateral
H30.109	Unspecified disseminated chorioretinal inflammation, unspecified eye
H30.111	Disseminated chorioretinal inflammation of posterior pole, right eye
H30.112	Disseminated chorioretinal inflammation of posterior pole, left eye
H30.113	Disseminated chorioretinal inflammation of posterior pole, bilateral
H30.119	Disseminated chorioretinal inflammation of posterior pole, unspecified eye
H30.121	Disseminated chorioretinal inflammation, peripheral right eye
H30.122	Disseminated chorioretinal inflammation, peripheral, left eye
H30.123	Disseminated chorioretinal inflammation, peripheral, bilateral
H30.129	Disseminated chorioretinal inflammation, peripheral, unspecified eye
H30.131	Disseminated chorioretinal inflammation, generalized, right eye
H30.132	Disseminated chorioretinal inflammation, generalized, left eye
H30.133	Disseminated chorioretinal inflammation, generalized, bilateral
H30.139	Disseminated chorioretinal inflammation, generalized, unspecified eye
H30.141	Acute posterior multifocal placoid pigment epitheliopathy, right eye
H30.142	Acute posterior multifocal placoid pigment epitheliopathy, left eye
H30.143	Acute posterior multifocal placoid pigment epitheliopathy, bilateral
H30.149	Acute posterior multifocal placoid pigment epitheliopathy, unspecified eye
H30.891	Other chorioretinal inflammations, right eye
H30.892	Other chorioretinal inflammations, left eye
H30.893	Other chorioretinal inflammations, bilateral
H30.899	Other chorioretinal inflammations, unspecified eye
H30.90	Unspecified chorioretinal inflammation, unspecified eye
H30.91	Unspecified chorioretinal inflammation, right eye
H30.92	Unspecified chorioretinal inflammation, left eye
H30.93	Unspecified chorioretinal inflammation, bilateral
H31.321	Choroidal rupture, right eye
H31.322	Choroidal rupture, left eye
H31.323	Choroidal rupture, bilateral
H31.329	Choroidal rupture, unspecified eye
H31.401	Unspecified choroidal detachment, right eye
H31.402	Unspecified choroidal detachment, left eye
H31.403	Unspecified choroidal detachment, bilateral
H31.409	Unspecified choroidal detachment, unspecified eye
H31.411	Hemorrhagic choroidal detachment, right eye
H31.412	Hemorrhagic choroidal detachment, left eye
H31.413	Hemorrhagic choroidal detachment, bilateral
H31.419	Hemorrhagic choroidal detachment, unspecified eye
H31.421	Serous choroidal detachment, right eye
H31.422	Serous choroidal detachment, left eye
H31.423	Serous choroidal detachment, bilateral
H31.429	Serous choroidal detachment, unspecified eye
H33.121	Parasitic cyst of retina, right eye
H33.122	Parasitic cyst of retina, left eye
H33.123	Parasitic cyst of retina, bilateral
H33.129	Parasitic cyst of retina, unspecified eye
H33.20	Serous retinal detachment, unspecified eye
H33.21	Serous retinal detachment, right eye
H33.22	Serous retinal detachment, left eye
H33.23	Serous retinal detachment, bilateral
H33.40	Traction detachment of retina, unspecified eye
H33.41	Traction detachment of retina, right eye
H33.42	Traction detachment of retina, left eye
H33.43	Traction detachment of retina, bilateral
H33.8	Other retinal detachments
H34.00	Transient retinal artery occlusion, unspecified eye
H34.01	Transient retinal artery occlusion, right eye
H34.02	Transient retinal artery occlusion, left eye
H34.03	Transient retinal artery occlusion, bilateral
H34.10	Central retinal artery occlusion, unspecified eye
H34.11	Central retinal artery occlusion, right eye
H34.12	Central retinal artery occlusion, left eye
H34.13	Central retinal artery occlusion, bilateral
H34.211	Partial retinal artery occlusion, right eye
H34.212	Partial retinal artery occlusion, left eye
H34.213	Partial retinal artery occlusion, bilateral
H34.219	Partial retinal artery occlusion, unspecified eye
H34.231	Retinal artery branch occlusion, right eye
H34.232	Retinal artery branch occlusion, left eye
H34.233	Retinal artery branch occlusion, bilateral
H34.239	Retinal artery branch occlusion, unspecified eye
H34.8110	Central retinal vein occlusion, right eye, with macular edema
H34.8111	Central retinal vein occlusion, right eye, with retinal neovascularization
H34.8112	Central retinal vein occlusion, right eye, stable
H34.8120	Central retinal vein occlusion, left eye, with macular edema
H34.8121	Central retinal vein occlusion, left eye, with retinal neovascularization
H34.8122	Central retinal vein occlusion, left eye, stable
H34.8130	Central retinal vein occlusion, bilateral, with macular edema
H34.8131	Central retinal vein occlusion, bilateral, with retinal neovascularization
H34.8132	Central retinal vein occlusion, bilateral, stable
H34.8190	Central retinal vein occlusion, unspecified eye, with macular edema
H34.8191	Central retinal vein occlusion, unspecified eye, with retinal neovascularization
H34.8192	Central retinal vein occlusion, unspecified eye, stable
H34.9	Unspecified retinal vascular occlusion
H35.70	Unspecified separation of retinal layers
H35.721	Serous detachment of retinal pigment epithelium, right eye
H35.722	Serous detachment of retinal pigment epithelium, left eye
H35.723	Serous detachment of retinal pigment epithelium, bilateral
H35.729	Serous detachment of retinal pigment epithelium, unspecified eye
H35.731	Hemorrhagic detachment of retinal pigment epithelium, right eye
H35.732	Hemorrhagic detachment of retinal pigment epithelium, left eye
H35.733	Hemorrhagic detachment of retinal pigment epithelium, bilateral
H35.739	Hemorrhagic detachment of retinal pigment epithelium, unspecified eye
H35.82	Retinal ischemia
H40.211	Acute angle-closure glaucoma, right eye
H40.212	Acute angle-closure glaucoma, left eye
H40.213	Acute angle-closure glaucoma, bilateral
H40.219	Acute angle-closure glaucoma, unspecified eye
H44.001	Unspecified purulent endophthalmitis, right eye
H44.002	Unspecified purulent endophthalmitis, left eye
H44.003	Unspecified purulent endophthalmitis, bilateral
H44.009	Unspecified purulent endophthalmitis, unspecified eye
H44.011	Panophthalmitis (acute), right eye
H44.012	Panophthalmitis (acute), left eye
H44.013	Panophthalmitis (acute), bilateral
H44.019	Panophthalmitis (acute), unspecified eye
H44.021	Vitreous abscess (chronic), right eye
H44.022	Vitreous abscess (chronic), left eye
H44.023	Vitreous abscess (chronic), bilateral
H44.029	Vitreous abscess (chronic), unspecified eye
H44.111	Panuveitis, right eye
H44.112	Panuveitis, left eye
H44.113	Panuveitis, bilateral
H44.119	Panuveitis, unspecified eye
H44.121	Parasitic endophthalmitis, unspecified, right eye
H44.122	Parasitic endophthalmitis, unspecified, left eye
H44.123	Parasitic endophthalmitis, unspecified, bilateral
H44.129	Parasitic endophthalmitis, unspecified, unspecified eye
H44.131	Sympathetic uveitis, right eye
H44.132	Sympathetic uveitis, left eye
H44.133	Sympathetic uveitis, bilateral
H44.139	Sympathetic uveitis, unspecified eye
H44.19	Other endophthalmitis
H46.00	Optic papillitis, unspecified eye
H46.01	Optic papillitis, right eye
H46.02	Optic papillitis, left eye
H46.03	Optic papillitis, bilateral
H46.10	Retrobulbar neuritis, unspecified eye
H46.11	Retrobulbar neuritis, right eye
H46.12	Retrobulbar neuritis, left eye
H46.13	Retrobulbar neuritis, bilateral
H46.8	Other optic neuritis
H46.9	Unspecified optic neuritis
H47.10	Unspecified papilledema
H47.11	Papilledema associated with increased intracranial pressure
H47.41	Disorders of optic chiasm in (due to) inflammatory disorders
H47.42	Disorders of optic chiasm in (due to) neoplasm
H47.43	Disorders of optic chiasm in (due to) vascular disorders
H47.49	Disorders of optic chiasm in (due to) other disorders
H47.511	Disorders of visual pathways in (due to) inflammatory disorders, right side
H47.512	Disorders of visual pathways in (due to) inflammatory disorders, left side
H47.519	Disorders of visual pathways in (due to) inflammatory disorders, unspecified side
H47.521	Disorders of visual pathways in (due to) neoplasm, right side
H47.522	Disorders of visual pathways in (due to) neoplasm, left side
H47.529	Disorders of visual pathways in (due to) neoplasm, unspecified side
H47.531	Disorders of visual pathways in (due to) vascular disorders, right side
H47.532	Disorders of visual pathways in (due to) vascular disorders, left side
H47.539	Disorders of visual pathways in (due to) vascular disorders, unspecified side
H47.621	Disorders of visual cortex in (due to) inflammatory disorders, right side of brain
H47.622	Disorders of visual cortex in (due to) inflammatory disorders, left side of brain
H47.629	Disorders of visual cortex in (due to) inflammatory disorders, unspecified side of brain
H47.631	Disorders of visual cortex in (due to) neoplasm, right side of brain
H47.632	Disorders of visual cortex in (due to) neoplasm, left side of brain
H47.639	Disorders of visual cortex in (due to) neoplasm, unspecified side of brain
H47.641	Disorders of visual cortex in (due to) vascular disorders, right side of brain
H47.642	Disorders of visual cortex in (due to) vascular disorders, left side of brain
H47.649	Disorders of visual cortex in (due to) vascular disorders, unspecified side of brain
H49.811	Kearns-Sayre syndrome, right eye
H49.812	Kearns-Sayre syndrome, left eye
H49.813	Kearns-Sayre syndrome, bilateral
H49.819	Kearns-Sayre syndrome, unspecified eye
H53.121	Transient visual loss, right eye
H53.122	Transient visual loss, left eye
H53.123	Transient visual loss, bilateral
H53.129	Transient visual loss, unspecified eye
H53.131	Sudden visual loss, right eye
H53.132	Sudden visual loss, left eye
H53.133	Sudden visual loss, bilateral
H53.139	Sudden visual loss, unspecified eye
H59.011	Keratopathy (bullous aphakic) following cataract surgery, right eye
H59.012	Keratopathy (bullous aphakic) following cataract surgery, left eye
H59.013	Keratopathy (bullous aphakic) following cataract surgery, bilateral
H59.019	Keratopathy (bullous aphakic) following cataract surgery, unspecified eye
H59.031	Cystoid macular edema following cataract surgery, right eye
H59.032	Cystoid macular edema following cataract surgery, left eye
H59.033	Cystoid macular edema following cataract surgery, bilateral
H59.039	Cystoid macular edema following cataract surgery, unspecified eye
H59.091	Other disorders of the right eye following cataract surgery
H59.092	Other disorders of the left eye following cataract surgery
H59.093	Other disorders of the eye following cataract surgery, bilateral
H59.099	Other disorders of unspecified eye following cataract surgery
H59.111	Intraoperative hemorrhage and hematoma of right eye and adnexa complicating an ophthalmic procedure
H59.112	Intraoperative hemorrhage and hematoma of left eye and adnexa complicating an ophthalmic procedure
H59.113	Intraoperative hemorrhage and hematoma of eye and adnexa complicating an ophthalmic procedure, bilateral
H59.119	Intraoperative hemorrhage and hematoma of unspecified eye and adnexa complicating an ophthalmic procedure
H59.121	Intraoperative hemorrhage and hematoma of right eye and adnexa complicating other procedure
H59.122	Intraoperative hemorrhage and hematoma of left eye and adnexa complicating other procedure
H59.123	Intraoperative hemorrhage and hematoma of eye and adnexa complicating other procedure, bilateral
H59.129	Intraoperative hemorrhage and hematoma of unspecified eye and adnexa complicating other procedure
H59.211	Accidental puncture and laceration of right eye and adnexa during an ophthalmic procedure
H59.212	Accidental puncture and laceration of left eye and adnexa during an ophthalmic procedure
H59.213	Accidental puncture and laceration of eye and adnexa during an ophthalmic procedure, bilateral
H59.219	Accidental puncture and laceration of unspecified eye and adnexa during an ophthalmic procedure
H59.221	Accidental puncture and laceration of right eye and adnexa during other procedure
H59.222	Accidental puncture and laceration of left eye and adnexa during other procedure
H59.223	Accidental puncture and laceration of eye and adnexa during other procedure, bilateral
H59.229	Accidental puncture and laceration of unspecified eye and adnexa during other procedure
H59.311	Postprocedural hemorrhage of right eye and adnexa following an ophthalmic procedure
H59.312	Postprocedural hemorrhage of left eye and adnexa following an ophthalmic procedure
H59.313	Postprocedural hemorrhage of eye and adnexa following an ophthalmic procedure, bilateral
H59.319	Postprocedural hemorrhage of unspecified eye and adnexa following an ophthalmic procedure
H59.321	Postprocedural hemorrhage of right eye and adnexa following other procedure
H59.322	Postprocedural hemorrhage of left eye and adnexa following other procedure
H59.323	Postprocedural hemorrhage of eye and adnexa following other procedure, bilateral
H59.329	Postprocedural hemorrhage of unspecified eye and adnexa following other procedure
H59.331	Postprocedural hematoma of right eye and adnexa following an ophthalmic procedure
H59.332	Postprocedural hematoma of left eye and adnexa following an ophthalmic procedure
H59.333	Postprocedural hematoma of eye and adnexa following an ophthalmic procedure, bilateral
H59.339	Postprocedural hematoma of unspecified eye and adnexa following an ophthalmic procedure
H59.341	Postprocedural hematoma of right eye and adnexa following other procedure
H59.342	Postprocedural hematoma of left eye and adnexa following other procedure
H59.343	Postprocedural hematoma of eye and adnexa following other procedure, bilateral
H59.349	Postprocedural hematoma of unspecified eye and adnexa following other procedure
H59.351	Postprocedural seroma of right eye and adnexa following an ophthalmic procedure
H59.352	Postprocedural seroma of left eye and adnexa following an ophthalmic procedure
H59.353	Postprocedural seroma of eye and adnexa following an ophthalmic procedure, bilateral
H59.359	Postprocedural seroma of unspecified eye and adnexa following an ophthalmic procedure
H59.361	Postprocedural seroma of right eye and adnexa following other procedure
H59.362	Postprocedural seroma of left eye and adnexa following other procedure
H59.363	Postprocedural seroma of eye and adnexa following other procedure, bilateral
H59.369	Postprocedural seroma of unspecified eye and adnexa following other procedure
H59.811	Chorioretinal scars after surgery for detachment, right eye
H59.812	Chorioretinal scars after surgery for detachment, left eye
H59.813	Chorioretinal scars after surgery for detachment, bilateral
H59.819	Chorioretinal scars after surgery for detachment, unspecified eye
H59.88	Other intraoperative complications of eye and adnexa, not elsewhere classified
H59.89	Other postprocedural complications and disorders of eye and adnexa, not elsewhere classified
H60.20	Malignant otitis externa, unspecified ear
H60.21	Malignant otitis externa, right ear
H60.22	Malignant otitis externa, left ear
H60.23	Malignant otitis externa, bilateral
H70.001	Acute mastoiditis without complications, right ear
H70.002	Acute mastoiditis without complications, left ear
H70.003	Acute mastoiditis without complications, bilateral
H70.009	Acute mastoiditis without complications, unspecified ear
H70.011	Subperiosteal abscess of mastoid, right ear
H70.012	Subperiosteal abscess of mastoid, left ear
H70.013	Subperiosteal abscess of mastoid, bilateral
H70.019	Subperiosteal abscess of mastoid, unspecified ear
H70.091	Acute mastoiditis with other complications, right ear
H70.092	Acute mastoiditis with other complications, left ear
H70.093	Acute mastoiditis with other complications, bilateral
H70.099	Acute mastoiditis with other complications, unspecified ear
H95.21	Intraoperative hemorrhage and hematoma of ear and mastoid process complicating a procedure on the ear and mastoid process
H95.22	Intraoperative hemorrhage and hematoma of ear and mastoid process complicating other procedure
H95.31	Accidental puncture and laceration of the ear and mastoid process during a procedure on the ear and mastoid process
H95.32	Accidental puncture and laceration of the ear and mastoid process during other procedure
H95.41	Postprocedural hemorrhage of ear and mastoid process following a procedure on the ear and mastoid process
H95.42	Postprocedural hemorrhage of ear and mastoid process following other procedure
H95.51	Postprocedural hematoma of ear and mastoid process following a procedure on the ear and mastoid process
H95.52	Postprocedural hematoma of ear and mastoid process following other procedure
H95.53	Postprocedural seroma of ear and mastoid process following a procedure on the ear and mastoid process
H95.54	Postprocedural seroma of ear and mastoid process following other procedure
H95.811	Postprocedural stenosis of right external ear canal
H95.812	Postprocedural stenosis of left external ear canal
H95.813	Postprocedural stenosis of external ear canal, bilateral
H95.819	Postprocedural stenosis of unspecified external ear canal
H95.88	Other intraoperative complications and disorders of the ear and mastoid process, not elsewhere classified
H95.89	Other postprocedural complications and disorders of the ear and mastoid process, not elsewhere classified
I01.0	Acute rheumatic pericarditis
I01.1	Acute rheumatic endocarditis
I01.2	Acute rheumatic myocarditis
I01.8	Other acute rheumatic heart disease
I01.9	Acute rheumatic heart disease, unspecified
I02.0	Rheumatic chorea with heart involvement
I02.9	Rheumatic chorea without heart involvement
I09.0	Rheumatic myocarditis
I09.2	Chronic rheumatic pericarditis
I09.81	Rheumatic heart failure
I12.0	Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease
I13.0	Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
I13.11	Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease
I13.2	Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease
I16.1	Hypertensive emergency
I16.9	Hypertensive crisis, unspecified
I20.0	Unstable angina
I20.1	Angina pectoris with documented spasm
I20.2	Refractory angina pectoris
I23.0	Hemopericardium as current complication following acute myocardial infarction
I23.1	Atrial septal defect as current complication following acute myocardial infarction
I23.2	Ventricular septal defect as current complication following acute myocardial infarction
I23.3	Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction
I23.6	Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction
I23.7	Postinfarction angina
I23.8	Other current complications following acute myocardial infarction
I24.0	Acute coronary thrombosis not resulting in myocardial infarction
I24.1	Dressler's syndrome
I24.81	Acute coronary microvascular dysfunction
I24.89	Other forms of acute ischemic heart disease
I24.9	Acute ischemic heart disease, unspecified
I25.110	Atherosclerotic heart disease of native coronary artery with unstable angina pectoris
I25.112	Atherosclerotic heart disease of native coronary artery with refractory angina pectoris
I25.3	Aneurysm of heart
I25.700	Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris
I25.702	Atherosclerosis of coronary artery bypass graft(s), unspecified, with refractory angina pectoris
I25.710	Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris
I25.711	Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris with documented spasm
I25.712	Atherosclerosis of autologous vein coronary artery bypass graft(s) with refractory angina pectoris
I25.718	Atherosclerosis of autologous vein coronary artery bypass graft(s) with other forms of angina pectoris
I25.719	Atherosclerosis of autologous vein coronary artery bypass graft(s) with unspecified angina pectoris
I25.720	Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris
I25.721	Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris with documented spasm
I25.722	Atherosclerosis of autologous artery coronary artery bypass graft(s) with refractory angina pectoris
I25.728	Atherosclerosis of autologous artery coronary artery bypass graft(s) with other forms of angina pectoris
I25.729	Atherosclerosis of autologous artery coronary artery bypass graft(s) with unspecified angina pectoris
I25.730	Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris
I25.731	Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris with documented spasm
I25.732	Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with refractory angina pectoris
I25.738	Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with other forms of angina pectoris
I25.739	Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unspecified angina pectoris
I25.750	Atherosclerosis of native coronary artery of transplanted heart with unstable angina
I25.751	Atherosclerosis of native coronary artery of transplanted heart with angina pectoris with documented spasm
I25.752	Atherosclerosis of native coronary artery of transplanted heart with refractory angina pectoris
I25.758	Atherosclerosis of native coronary artery of transplanted heart with other forms of angina pectoris
I25.759	Atherosclerosis of native coronary artery of transplanted heart with unspecified angina pectoris
I25.760	Atherosclerosis of bypass graft of coronary artery of transplanted heart with unstable angina
I25.761	Atherosclerosis of bypass graft of coronary artery of transplanted heart with angina pectoris with documented spasm
I25.762	Atherosclerosis of bypass graft of coronary artery of transplanted heart with refractory angina pectoris
I25.768	Atherosclerosis of bypass graft of coronary artery of transplanted heart with other forms of angina pectoris
I25.769	Atherosclerosis of bypass graft of coronary artery of transplanted heart with unspecified angina pectoris
I25.790	Atherosclerosis of other coronary artery bypass graft(s) with unstable angina pectoris
I25.791	Atherosclerosis of other coronary artery bypass graft(s) with angina pectoris with documented spasm
I25.792	Atherosclerosis of other coronary artery bypass graft(s) with refractory angina pectoris
I25.798	Atherosclerosis of other coronary artery bypass graft(s) with other forms of angina pectoris
I25.799	Atherosclerosis of other coronary artery bypass graft(s) with unspecified angina pectoris
I25.810	Atherosclerosis of coronary artery bypass graft(s) without angina pectoris
I25.811	Atherosclerosis of native coronary artery of transplanted heart without angina pectoris
I25.812	Atherosclerosis of bypass graft of coronary artery of transplanted heart without angina pectoris
I27.0	Primary pulmonary hypertension
I27.1	Kyphoscoliotic heart disease
I27.82	Chronic pulmonary embolism
I27.840	Fontan-associated liver disease [FALD]
I28.0	Arteriovenous fistula of pulmonary vessels
I28.1	Aneurysm of pulmonary artery
I30.0	Acute nonspecific idiopathic pericarditis
I30.1	Infective pericarditis
I30.8	Other forms of acute pericarditis
I30.9	Acute pericarditis, unspecified
I31.0	Chronic adhesive pericarditis
I31.1	Chronic constrictive pericarditis
I31.2	Hemopericardium, not elsewhere classified
I31.31	Malignant pericardial effusion in diseases classified elsewhere
I31.39	Other pericardial effusion (noninflammatory)
I31.4	Cardiac tamponade
I31.8	Other specified diseases of pericardium
I31.9	Disease of pericardium, unspecified
I32	Pericarditis in diseases classified elsewhere
I38	Endocarditis, valve unspecified
I39	Endocarditis and heart valve disorders in diseases classified elsewhere
I42.0	Dilated cardiomyopathy
I42.1	Obstructive hypertrophic cardiomyopathy
I42.2	Other hypertrophic cardiomyopathy
I42.3	Endomyocardial (eosinophilic) disease
I42.4	Endocardial fibroelastosis
I42.5	Other restrictive cardiomyopathy
I42.6	Alcoholic cardiomyopathy
I42.7	Cardiomyopathy due to drug and external agent
I42.8	Other cardiomyopathies
I42.9	Cardiomyopathy, unspecified
I43	Cardiomyopathy in diseases classified elsewhere
I44.2	Atrioventricular block, complete
I45.2	Bifascicular block
I45.3	Trifascicular block
I45.89	Other specified conduction disorders
I47.0	Re-entry ventricular arrhythmia
I47.10	Supraventricular tachycardia, unspecified
I47.11	Inappropriate sinus tachycardia, so stated
I47.19	Other supraventricular tachycardia
I47.20	Ventricular tachycardia, unspecified
I47.21	Torsades de pointes
I47.29	Other ventricular tachycardia
I48.11	Longstanding persistent atrial fibrillation
I48.19	Other persistent atrial fibrillation
I48.20	Chronic atrial fibrillation, unspecified
I48.21	Permanent atrial fibrillation
I48.3	Typical atrial flutter
I48.4	Atypical atrial flutter
I48.92	Unspecified atrial flutter
I49.2	Junctional premature depolarization
I50.1	Left ventricular failure, unspecified
I50.20	Unspecified systolic (congestive) heart failure
I50.22	Chronic systolic (congestive) heart failure
I50.30	Unspecified diastolic (congestive) heart failure
I50.32	Chronic diastolic (congestive) heart failure
I50.40	Unspecified combined systolic (congestive) and diastolic (congestive) heart failure
I50.42	Chronic combined systolic (congestive) and diastolic (congestive) heart failure
I51.0	Cardiac septal defect, acquired
I51.81	Takotsubo syndrome
