TABLE 6I - COMPLETE MCC LIST
Diagnosis Code	Description
P83.2	Hydrops fetalis not due to hemolytic disease
P90	Convulsions of newborn
P91.0	Neonatal cerebral ischemia
P91.1	Acquired periventricular cysts of newborn
P91.2	Neonatal cerebral leukomalacia
P91.3	Neonatal cerebral irritability
P91.4	Neonatal cerebral depression
P91.5	Neonatal coma
P91.63	Severe hypoxic ischemic encephalopathy [HIE]
P91.821	Neonatal cerebral infarction, right side of brain
P91.822	Neonatal cerebral infarction, left side of brain
P91.823	Neonatal cerebral infarction, bilateral
P91.829	Neonatal cerebral infarction, unspecified side
P92.01	Bilious vomiting of newborn
Q00.0	Anencephaly
Q00.1	Craniorachischisis
Q00.2	Iniencephaly
Q04.0	Congenital malformations of corpus callosum
Q04.1	Arhinencephaly
Q04.2	Holoprosencephaly
Q04.3	Other reduction deformities of brain
Q20.0	Common arterial trunk
Q20.1	Double outlet right ventricle
Q20.2	Double outlet left ventricle
Q20.3	Discordant ventriculoarterial connection
Q20.4	Double inlet ventricle
Q21.3	Tetralogy of Fallot
Q22.0	Pulmonary valve atresia
Q22.4	Congenital tricuspid stenosis
Q22.5	Ebstein's anomaly
Q22.6	Hypoplastic right heart syndrome
Q22.8	Other congenital malformations of tricuspid valve
Q22.9	Congenital malformation of tricuspid valve, unspecified
Q23.4	Hypoplastic left heart syndrome
Q24.2	Cor triatriatum
Q24.4	Congenital subaortic stenosis
Q24.6	Congenital heart block
Q25.5	Atresia of pulmonary artery
Q25.6	Stenosis of pulmonary artery
Q25.71	Coarctation of pulmonary artery
Q25.72	Congenital pulmonary arteriovenous malformation
Q25.79	Other congenital malformations of pulmonary artery
Q28.2	Arteriovenous malformation of cerebral vessels
Q28.3	Other malformations of cerebral vessels
Q33.2	Sequestration of lung
Q33.3	Agenesis of lung
Q33.6	Congenital hypoplasia and dysplasia of lung
Q39.0	Atresia of esophagus without fistula
Q39.1	Atresia of esophagus with tracheo-esophageal fistula
Q39.2	Congenital tracheo-esophageal fistula without atresia
Q39.3	Congenital stenosis and stricture of esophagus
Q39.4	Esophageal web
Q44.2	Atresia of bile ducts
Q44.3	Congenital stenosis and stricture of bile ducts
Q79.0	Congenital diaphragmatic hernia
Q79.1	Other congenital malformations of diaphragm
Q79.2	Exomphalos
Q79.3	Gastroschisis
Q79.4	Prune belly syndrome
Q79.51	Congenital hernia of bladder
Q79.59	Other congenital malformations of abdominal wall
Q89.4	Conjoined twins
Q93.81	Velo-cardio-facial syndrome
R09.2	Respiratory arrest
R40.20	Unspecified coma
R40.2110	Coma scale, eyes open, never, unspecified time
R40.2111	Coma scale, eyes open, never, in the field [EMT or ambulance]
R40.2112	Coma scale, eyes open, never, at arrival to emergency department
R40.2113	Coma scale, eyes open, never, at hospital admission
R40.2114	Coma scale, eyes open, never, 24 hours or more after hospital admission
R40.2120	Coma scale, eyes open, to pain, unspecified time
R40.2121	Coma scale, eyes open, to pain, in the field [EMT or ambulance]
R40.2122	Coma scale, eyes open, to pain, at arrival to emergency department
R40.2123	Coma scale, eyes open, to pain, at hospital admission
R40.2124	Coma scale, eyes open, to pain, 24 hours or more after hospital admission
R40.2210	Coma scale, best verbal response, none, unspecified time
R40.2211	Coma scale, best verbal response, none, in the field [EMT or ambulance]
R40.2212	Coma scale, best verbal response, none, at arrival to emergency department
R40.2213	Coma scale, best verbal response, none, at hospital admission
R40.2214	Coma scale, best verbal response, none, 24 hours or more after hospital admission
R40.2220	Coma scale, best verbal response, incomprehensible words, unspecified time
R40.2221	Coma scale, best verbal response, incomprehensible words, in the field [EMT or ambulance]
R40.2222	Coma scale, best verbal response, incomprehensible words, at arrival to emergency department
R40.2223	Coma scale, best verbal response, incomprehensible words, at hospital admission
R40.2224	Coma scale, best verbal response, incomprehensible words, 24 hours or more after hospital admission
R40.2310	Coma scale, best motor response, none, unspecified time
R40.2311	Coma scale, best motor response, none, in the field [EMT or ambulance]
R40.2312	Coma scale, best motor response, none, at arrival to emergency department
R40.2313	Coma scale, best motor response, none, at hospital admission
R40.2314	Coma scale, best motor response, none, 24 hours or more after hospital admission
R40.2320	Coma scale, best motor response, extension, unspecified time
R40.2321	Coma scale, best motor response, extension, in the field [EMT or ambulance]
R40.2322	Coma scale, best motor response, extension, at arrival to emergency department
R40.2323	Coma scale, best motor response, extension, at hospital admission
R40.2324	Coma scale, best motor response, extension, 24 hours or more after hospital admission
R40.2340	Coma scale, best motor response, flexion withdrawal, unspecified time
R40.2341	Coma scale, best motor response, flexion withdrawal, in the field [EMT or ambulance]
R40.2342	Coma scale, best motor response, flexion withdrawal, at arrival to emergency department
R40.2343	Coma scale, best motor response, flexion withdrawal, at hospital admission
R40.2344	Coma scale, best motor response, flexion withdrawal, 24 hours or more after hospital admission
R40.2A	Nontraumatic coma due to underlying condition
R53.2	Functional quadriplegia
R57.0	Cardiogenic shock
R57.1	Hypovolemic shock
R57.8	Other shock
R65.11	Systemic inflammatory response syndrome (SIRS) of non-infectious origin with acute organ dysfunction
R65.20	Severe sepsis without septic shock
R65.21	Severe sepsis with septic shock
S02.0XXB	Fracture of vault of skull, initial encounter for open fracture
S02.101B	Fracture of base of skull, right side, initial encounter for open fracture
S02.102B	Fracture of base of skull, left side, initial encounter for open fracture
S02.109B	Fracture of base of skull, unspecified side, initial encounter for open fracture
S02.110B	Type I occipital condyle fracture, unspecified side, initial encounter for open fracture
S02.111B	Type II occipital condyle fracture, unspecified side, initial encounter for open fracture
S02.112B	Type III occipital condyle fracture, unspecified side, initial encounter for open fracture
S02.113B	Unspecified occipital condyle fracture, initial encounter for open fracture
S02.118B	Other fracture of occiput, unspecified side, initial encounter for open fracture
S02.119B	Unspecified fracture of occiput, initial encounter for open fracture
S02.11AB	Type I occipital condyle fracture, right side, initial encounter for open fracture
S02.11BB	Type I occipital condyle fracture, left side, initial encounter for open fracture
S02.11CB	Type II occipital condyle fracture, right side, initial encounter for open fracture
S02.11DB	Type II occipital condyle fracture, left side, initial encounter for open fracture
S02.11EB	Type III occipital condyle fracture, right side, initial encounter for open fracture
S02.11FB	Type III occipital condyle fracture, left side, initial encounter for open fracture
S02.11GB	Other fracture of occiput, right side, initial encounter for open fracture
S02.11HB	Other fracture of occiput, left side, initial encounter for open fracture
S02.121B	Fracture of orbital roof, right side, initial encounter for open fracture
S02.122B	Fracture of orbital roof, left side, initial encounter for open fracture
S02.129B	Fracture of orbital roof, unspecified side, initial encounter for open fracture
S02.19XB	Other fracture of base of skull, initial encounter for open fracture
S02.91XB	Unspecified fracture of skull, initial encounter for open fracture
S06.1X0A	Traumatic cerebral edema without loss of consciousness, initial encounter
S06.1X1A	Traumatic cerebral edema with loss of consciousness of 30 minutes or less, initial encounter
S06.1X2A	Traumatic cerebral edema with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S06.1X3A	Traumatic cerebral edema with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter
S06.1X4A	Traumatic cerebral edema with loss of consciousness of 6 hours to 24 hours, initial encounter
S06.1X5A	Traumatic cerebral edema with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter
S06.1X6A	Traumatic cerebral edema with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.1X7A	Traumatic cerebral edema with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.1X8A	Traumatic cerebral edema with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.1X9A	Traumatic cerebral edema with loss of consciousness of unspecified duration, initial encounter
S06.1XAA	Traumatic cerebral edema with loss of consciousness status unknown, initial encounter
S06.2X6A	Diffuse traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.2X7A	Diffuse traumatic brain injury with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.2X8A	Diffuse traumatic brain injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.306A	Unspecified focal traumatic brain injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.307A	Unspecified focal traumatic brain injury with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.308A	Unspecified focal traumatic brain injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.310A	Contusion and laceration of right cerebrum without loss of consciousness, initial encounter
S06.311A	Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less, initial encounter
S06.312A	Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S06.313A	Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter
S06.314A	Contusion and laceration of right cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter
S06.315A	Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter
S06.316A	Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.317A	Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.318A	Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.319A	Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration, initial encounter
S06.31AA	Contusion and laceration of right cerebrum with loss of consciousness status unknown, initial encounter
S06.320A	Contusion and laceration of left cerebrum without loss of consciousness, initial encounter
S06.321A	Contusion and laceration of left cerebrum with loss of consciousness of 30 minutes or less, initial encounter
S06.322A	Contusion and laceration of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S06.323A	Contusion and laceration of left cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter
S06.324A	Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter
S06.325A	Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter
S06.326A	Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.327A	Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.328A	Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.329A	Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration, initial encounter
S06.32AA	Contusion and laceration of left cerebrum with loss of consciousness status unknown, initial encounter
S06.330A	Contusion and laceration of cerebrum, unspecified, without loss of consciousness, initial encounter
S06.331A	Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, initial encounter
S06.332A	Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S06.333A	Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter
S06.334A	Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, initial encounter
S06.335A	Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter
S06.336A	Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.337A	Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.338A	Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.339A	Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration, initial encounter
S06.33AA	Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown, initial encounter
S06.340A	Traumatic hemorrhage of right cerebrum without loss of consciousness, initial encounter
S06.341A	Traumatic hemorrhage of right cerebrum with loss of consciousness of 30 minutes or less, initial encounter
S06.342A	Traumatic hemorrhage of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S06.343A	Traumatic hemorrhage of right cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, initial encounter
S06.344A	Traumatic hemorrhage of right cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter
S06.345A	Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter
S06.346A	Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.347A	Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.348A	Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.349A	Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration, initial encounter
S06.34AA	Traumatic hemorrhage of right cerebrum with loss of consciousness status unknown, initial encounter
S06.350A	Traumatic hemorrhage of left cerebrum without loss of consciousness, initial encounter
S06.351A	Traumatic hemorrhage of left cerebrum with loss of consciousness of 30 minutes or less, initial encounter
S06.352A	Traumatic hemorrhage of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S06.353A	Traumatic hemorrhage of left cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, initial encounter
S06.354A	Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter
S06.355A	Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter
S06.356A	Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.357A	Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.358A	Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.359A	Traumatic hemorrhage of left cerebrum with loss of consciousness of unspecified duration, initial encounter
S06.35AA	Traumatic hemorrhage of left cerebrum with loss of consciousness status unknown, initial encounter
S06.360A	Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness, initial encounter
S06.361A	Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, initial encounter
S06.362A	Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S06.363A	Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 1 hours to 5 hours 59 minutes, initial encounter
S06.364A	Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, initial encounter
S06.365A	Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter
S06.366A	Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.367A	Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.368A	Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.369A	Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration, initial encounter
S06.36AA	Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness status unknown, initial encounter
S06.370A	Contusion, laceration, and hemorrhage of cerebellum without loss of consciousness, initial encounter
S06.376A	Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.377A	Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.378A	Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.37AA	Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness status unknown, initial encounter
S06.380A	Contusion, laceration, and hemorrhage of brainstem without loss of consciousness, initial encounter
S06.386A	Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.387A	Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.388A	Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.38AA	Contusion, laceration, and hemorrhage of brainstem with loss of consciousness status unknown, initial encounter
S06.4X0A	Epidural hemorrhage without loss of consciousness, initial encounter
S06.4X1A	Epidural hemorrhage with loss of consciousness of 30 minutes or less, initial encounter
S06.4X2A	Epidural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S06.4X3A	Epidural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter
S06.4X4A	Epidural hemorrhage with loss of consciousness of 6 hours to 24 hours, initial encounter
S06.4X5A	Epidural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter
S06.4X6A	Epidural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.4X7A	Epidural hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.4X8A	Epidural hemorrhage with loss of consciousness of any duration with death due to other causes prior to regaining consciousness, initial encounter
S06.4X9A	Epidural hemorrhage with loss of consciousness of unspecified duration, initial encounter
S06.4XAA	Epidural hemorrhage with loss of consciousness status unknown, initial encounter
S06.5X0A	Traumatic subdural hemorrhage without loss of consciousness, initial encounter
S06.5X1A	Traumatic subdural hemorrhage with loss of consciousness of 30 minutes or less, initial encounter
S06.5X2A	Traumatic subdural hemorrhage with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S06.5X3A	Traumatic subdural hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter
S06.5X4A	Traumatic subdural hemorrhage with loss of consciousness of 6 hours to 24 hours, initial encounter
S06.5X5A	Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter
S06.5X6A	Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.5X7A	Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to brain injury before regaining consciousness, initial encounter
S06.5X8A	Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to other cause before regaining consciousness, initial encounter
S06.5X9A	Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, initial encounter
S06.5XAA	Traumatic subdural hemorrhage with loss of consciousness status unknown, initial encounter
S06.6X0A	Traumatic subarachnoid hemorrhage without loss of consciousness, initial encounter
S06.6X1A	Traumatic subarachnoid hemorrhage with loss of consciousness of 30 minutes or less, initial encounter
S06.6X2A	Traumatic subarachnoid hemorrhage with loss of consciousness of 31 minutes to 59 minutes, initial encounter
S06.6X3A	Traumatic subarachnoid hemorrhage with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter
S06.6X4A	Traumatic subarachnoid hemorrhage with loss of consciousness of 6 hours to 24 hours, initial encounter
S06.6X5A	Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter
S06.6X6A	Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.6X7A	Traumatic subarachnoid hemorrhage with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.6X8A	Traumatic subarachnoid hemorrhage with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.6X9A	Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration, initial encounter
S06.6XAA	Traumatic subarachnoid hemorrhage with loss of consciousness status unknown, initial encounter
S06.816A	Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.817A	Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.818A	Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.826A	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.827A	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.828A	Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.896A	Other specified intracranial injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.897A	Other specified intracranial injury with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.898A	Other specified intracranial injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.8A6A	Primary blast injury of brain, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.8A7A	Primary blast injury of brain, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.8A8A	Primary blast injury of brain, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.9X6A	Unspecified intracranial injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter
S06.9X7A	Unspecified intracranial injury with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter
S06.9X8A	Unspecified intracranial injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter
S06.A0XA	Traumatic brain compression without herniation, initial encounter
S06.A1XA	Traumatic brain compression with herniation, initial encounter
S11.011A	Laceration without foreign body of larynx, initial encounter
S11.012A	Laceration with foreign body of larynx, initial encounter
S11.013A	Puncture wound without foreign body of larynx, initial encounter
S11.014A	Puncture wound with foreign body of larynx, initial encounter
S11.015A	Open bite of larynx, initial encounter
S11.019A	Unspecified open wound of larynx, initial encounter
S11.021A	Laceration without foreign body of trachea, initial encounter
S11.022A	Laceration with foreign body of trachea, initial encounter
S11.023A	Puncture wound without foreign body of trachea, initial encounter
S11.024A	Puncture wound with foreign body of trachea, initial encounter
S11.025A	Open bite of trachea, initial encounter
S11.029A	Unspecified open wound of trachea, initial encounter
S11.031A	Laceration without foreign body of vocal cord, initial encounter
S11.032A	Laceration with foreign body of vocal cord, initial encounter
S11.033A	Puncture wound without foreign body of vocal cord, initial encounter
S11.034A	Puncture wound with foreign body of vocal cord, initial encounter
S11.035A	Open bite of vocal cord, initial encounter
S11.039A	Unspecified open wound of vocal cord, initial encounter
S12.000B	Unspecified displaced fracture of first cervical vertebra, initial encounter for open fracture
S12.001B	Unspecified nondisplaced fracture of first cervical vertebra, initial encounter for open fracture
S12.01XB	Stable burst fracture of first cervical vertebra, initial encounter for open fracture
S12.02XB	Unstable burst fracture of first cervical vertebra, initial encounter for open fracture
S12.030B	Displaced posterior arch fracture of first cervical vertebra, initial encounter for open fracture
S12.031B	Nondisplaced posterior arch fracture of first cervical vertebra, initial encounter for open fracture
S12.040B	Displaced lateral mass fracture of first cervical vertebra, initial encounter for open fracture
S12.041B	Nondisplaced lateral mass fracture of first cervical vertebra, initial encounter for open fracture
S12.090B	Other displaced fracture of first cervical vertebra, initial encounter for open fracture
S12.091B	Other nondisplaced fracture of first cervical vertebra, initial encounter for open fracture
S12.100B	Unspecified displaced fracture of second cervical vertebra, initial encounter for open fracture
S12.101B	Unspecified nondisplaced fracture of second cervical vertebra, initial encounter for open fracture
S12.110B	Anterior displaced Type II dens fracture, initial encounter for open fracture
S12.111B	Posterior displaced Type II dens fracture, initial encounter for open fracture
S12.112B	Nondisplaced Type II dens fracture, initial encounter for open fracture
S12.120B	Other displaced dens fracture, initial encounter for open fracture
S12.121B	Other nondisplaced dens fracture, initial encounter for open fracture
S12.130B	Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture
S12.131B	Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture
S12.14XB	Type III traumatic spondylolisthesis of second cervical vertebra, initial encounter for open fracture
S12.150B	Other traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture
S12.151B	Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture
S12.190B	Other displaced fracture of second cervical vertebra, initial encounter for open fracture
S12.191B	Other nondisplaced fracture of second cervical vertebra, initial encounter for open fracture
S12.200B	Unspecified displaced fracture of third cervical vertebra, initial encounter for open fracture
S12.201B	Unspecified nondisplaced fracture of third cervical vertebra, initial encounter for open fracture
S12.230B	Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture
S12.231B	Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture
S12.24XB	Type III traumatic spondylolisthesis of third cervical vertebra, initial encounter for open fracture
S12.250B	Other traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture
S12.251B	Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture
S12.290B	Other displaced fracture of third cervical vertebra, initial encounter for open fracture
S12.291B	Other nondisplaced fracture of third cervical vertebra, initial encounter for open fracture
S12.300B	Unspecified displaced fracture of fourth cervical vertebra, initial encounter for open fracture
S12.301B	Unspecified nondisplaced fracture of fourth cervical vertebra, initial encounter for open fracture
S12.330B	Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture
S12.331B	Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture
S12.34XB	Type III traumatic spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture
S12.350B	Other traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture
S12.351B	Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture
S12.390B	Other displaced fracture of fourth cervical vertebra, initial encounter for open fracture
S12.391B	Other nondisplaced fracture of fourth cervical vertebra, initial encounter for open fracture
S12.400B	Unspecified displaced fracture of fifth cervical vertebra, initial encounter for open fracture
S12.401B	Unspecified nondisplaced fracture of fifth cervical vertebra, initial encounter for open fracture
S12.430B	Unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture
S12.431B	Unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture
S12.44XB	Type III traumatic spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture
S12.450B	Other traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture
S12.451B	Other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture
S12.490B	Other displaced fracture of fifth cervical vertebra, initial encounter for open fracture
S12.491B	Other nondisplaced fracture of fifth cervical vertebra, initial encounter for open fracture
S12.500B	Unspecified displaced fracture of sixth cervical vertebra, initial encounter for open fracture
S12.501B	Unspecified nondisplaced fracture of sixth cervical vertebra, initial encounter for open fracture
S12.530B	Unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture
S12.531B	Unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture
S12.54XB	Type III traumatic spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture
S12.550B	Other traumatic displaced spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture
S12.551B	Other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture
S12.590B	Other displaced fracture of sixth cervical vertebra, initial encounter for open fracture
S12.591B	Other nondisplaced fracture of sixth cervical vertebra, initial encounter for open fracture
S12.600B	Unspecified displaced fracture of seventh cervical vertebra, initial encounter for open fracture
